Boutton, Temps(sec)
start,0
null,0.003
caisse,13.588
null,18.867
caisse,23.068
null,30.972
L,34.987
null,39.555
caisse,50.124
null,55.323
caisse,57.875
null,63.547
R,68.011
null,73.292
caisse,83.572
null,88.651
caisse,92.403
null,95.932
L,102.468
null,107.779
caisse,121.011
null,125.179
caisse,128.148
null,132.619
L,137.388
null,141.811
caisse,152.348
null,161.628
Down_R,167.515
null,171.884
caisse,182.003
null,192.324
Down_L,198.076
null,202.58
caisse,213.651
null,225.9
Down_R,231.484
null,235.995
caisse,247.188
null,257.572
R,262.292
null,267.916
