Boutton, Temps(sec)
Start,0
Introduction,2.716
A0,15.361
B_L0,37.916
C0,46.695
A1,52.654
B_R1,71.551
C1,80.067
A2,85.76
B_L2,105.558
C2,115.664
A3,119.723
B_L3,140.32
C3,148.553
A4,155.442
B_R4,170.571
C4,177.717
A5,184.942
B_L5,201.143
C5,211.153
A6,216.538
B_R6,234.335
C6,244.044
A7,249.916
B_R7,265.542
C7,275.437
Conclusion,281.256
