Boutton, Temps(sec)
Start,0
Introduction,2.923
A0,15.537
B_L0,37.319
C0,48.959
A1,55.714
B_L1,73.166
C1,86.764
A2,95.196
Error_1,111.049
Excuse,121.563
B_L2,133.696
C2,141.25
A3,149.095
B_R3,166.532
C3,174.986
A4,180.227
B_L4,203.741
C4,216.26
A5,222.763
Error_2,240.4
Excuse,248.942
B_R5,259.192
C5,272.036
A6,277.923
B_L6,300.359
C6,310.898
A7,317.769
Error_3,335.011
Excuse,343.022
B_L7,363.713
C7,377.28
Conclusion,382.904
