Boutton, Temps(sec)
start,0
null,0.011
null,16.498
null,22.203
L,30.411
null,35.747
null,40.986
caisse,50.131
null,56.283
caisse,60.731
null,65.835
Down_L,70.875
null,76.978
caisse,86.707
null,91.179
caisse,93.939
null,96.883
L,105.179
null,110.795
caisse,121.683
null,132.595
Down_R,137.635
null,142.147
caisse,153.555
null,161.563
caisse,164.435
null,168.083
L,173.242
null,178.171
caisse,189.851
null,196.427
caisse,199.531
null,202.315
Down_L,210.003
null,215.579
caisse,234.275
null,244.139
L,252.699
null,257.467
caisse,265.811
null,276.091
Down_L,283.667
null,288.299
