Boutton, Temps(sec)
start,0
null,0.001
null,11.538
caisse,20.675
null,27.218
R,34.53
null,38.922
caisse,52.411
null,62.595
R,69.57
null,74.075
caisse,85.963
null,96.186
L,103.619
null,108.035
caisse,120.035
null,128.547
Down_R,135.275
null,140.139
caisse,151.035
null,162.106
L,168.443
null,173.315
caisse,184.739
null,192.107
caisse,197.307
null,202.738
Down_L,206.835
null,212.954
caisse,223.523
null,233.539
Down_R,242.074
null,246.691
caisse,259.859
null,268.083
L,280.163
null,284.619
