Boutton, Temps(sec)
Start,0
Introduction,5.284
A0,20.079
B_R0,42.525
C0,54.433
A1,61.999
B_L1,81.982
C1,94.617
A2,100.571
Error_1,116.352
Excuse,126.175
B_L2,143.275
C2,151.519
A3,158.524
B_L3,182.631
C3,192.073
A4,199.083
B_L4,218.961
C4,231.944
A5,239.722
Error_2,258.42
Excuse,266.538
B_R5,280.252
C5,292.209
A6,298.827
B_L6,321.16
C6,332.384
A7,340.065
Error_3,361.663
Excuse,369.925
B_R7,380.534
B_R7,406.961
Excuse,422.388
C7,446.681
C8,465.493
Conclusion,469.62
