Boutton, Temps(sec)
Start,0
Introduction,6.954
A0,17.214
B_L0,34.994
C0,47.483
A1,54.745
B_L1,75.915
C1,85.267
A2,89.76
B_R2,115.257
C2,123.367
A3,130.368
B_R3,156.718
C3,166.403
A4,172.503
B_L4,193.953
C4,202.152
A5,208.521
B_R5,230.077
C5,240.987
A6,247.394
B_R6,266.75
C6,276.53
A7,282.346
B_L7,302.717
C7,313.335
Conclusion,325.238
