Boutton, Temps(sec)
start,0
vide,0.36
null,4.132
caisse,14.964
null,20.692
caisse,24.82
L,31.788
null,36.204
null,44.7
caisse,51.652
null,58.284
caisse,64.164
null,68.692
L,72.316
null,78.124
caisse,86.981
null,93.828
caisse,100.044
null,104.636
Down_R,112.084
null,116.396
caisse,127.3
null,133.116
caisse,137.029
null,140.06
Down_R,153.573
null,157.796
caisse,170.316
null,175.796
caisse,180.692
null,185.693
L,190.9
null,195.348
caisse,205.54
null,212.173
caisse,217.885
null,222.213
R,226.693
null,231.204
caisse,243.565
null,249.356
caisse,252.876
null,256.06
Down_R,263.645
null,268.053
caisse,278.932
null,286.428
caisse,289.724
null,294.285
Down_L,299.428
null,304.845
caisse,316.484
null,320.565
