Boutton, Temps(sec)
start,0
vide,0.016
caisse,15.041
vide,21.961
null,30.594
L,34.105
vide,42.074
null,53.057
caisse,57.513
vide,71.145
Down_L,77.929
vide,89.329
caisse,102.914
vide,113.729
L,140.546
vide,145.522
caisse,156.113
vide,166.498
Down_R,174.61
vide,180.433
caisse,191.258
vide,201.945
Down_L,208.482
vide,213.833
caisse,226.69
vide,238.009
Down_L,262.914
vide,268.562
caisse,282.85
null,288.578
caisse,291.298
vide,294.833
Down_R,302.33
vide,307.882
caisse,321.746
vide,330.938
Down_L,357.106
vide,362.713
