Boutton, Temps(sec)
start,0
null,0.001
caisse,11.387
null,22.036
L,27.588
null,32.051
caisse,44.331
null,52.3
caisse,58.907
L,64.108
Down_L,69.228
null,74.683
caisse,86.508
null,95.148
R,107.075
null,112.515
caisse,122.956
null,129.123
caisse,134.331
null,139.051
L,143.899
null,148.699
caisse,157.819
null,164.867
caisse,169.108
null,172.94
Down_R,179.236
null,184.467
caisse,196.787
null,204.164
caisse,209.763
null,214.371
caisse,219.731
null,223.316
R,227.212
null,232.436
caisse,244.628
null,255.283
L,261.083
null,267.587
caisse,275.539
null,281.219
caisse,287.436
null,291.908
R,296.092
null,300.772
