Boutton, Temps(sec)
Start,0
Introduction,2.214
A0,13.487
B_L0,30.851
C0,39.431
A1,47.098
B_L1,72.795
C1,80.689
A2,85.531
B_R2,110.057
C2,118.669
A3,125.826
B_L3,146.825
C3,155.605
A4,160.931
B_R4,182.139
C4,190.306
A5,200.831
B_R5,230.127
C5,240.891
A6,248.111
B_L6,263.956
C6,271.807
A7,278.356
B_R7,298.98
C7,310.18
C8,315.228
Conclusion,323.9
