Boutton, Temps(sec)
Start,0
Introduction,3.369
A0,16.674
B_L0,28.837
C0,39.592
A1,46.094
B_R1,63.915
C1,74.656
A2,78.27
B_L2,99.21
C2,108.04
A3,116.384
B_L3,135.074
C3,143.649
A4,150.493
B_L4,164.625
C4,178.479
A5,187.419
Error_2,204.216
Excuse,212.591
B_R5,225.21
C5,238.225
A6,244.578
B_L6,266.927
Excuse,280.258
B_L6,298.933
Error_3,314.625
C6,325.44
B_L7,342.625
C7,358.683
A7,366.941
C8,378.751
Conclusion,385.955
