Boutton, Temps(sec)
start,0
null,0.002
caisse,11.483
null,16.876
caisse,23.164
null,26.708
Down_R,31.612
null,36.243
caisse,47.652
null,52.86
caisse,56.276
null,58.652
Down_L,64.844
null,69.364
caisse,82.267
null,93.292
L,99.891
null,104.235
caisse,115.356
null,129.332
L,135.46
null,140.467
caisse,150.924
null,159.683
L,165.739
null,171.82
caisse,187.836
null,196.516
R,201.395
null,206.692
caisse,219.595
null,225.428
caisse,228.612
null,231.396
L,236.468
null,241.044
caisse,248.708
null,259.451
Down_L,266.196
null,270.835
