Boutton, Temps(sec)
Start,0
Introduction,2.361
A0,14.725
B_L0,42.049
C0,52.757
A1,60.282
B_L1,81.733
C1,94.786
A2,100.953
Error_1,117.532
Excuse,127.123
B_R2,139.613
C2,148.39
A3,154.666
B_L3,173.48
C3,182.546
A4,188.673
B_R4,206.936
C4,219.254
A5,230.128
Error_2,243.356
Excuse,250.982
B_L5,262.175
C5,274.946
A6,280.751
B_R6,305.031
C6,317.178
A7,323.931
Error_3,343.668
Excuse,351.122
B_L7,364.343
C7,377.808
Conclusion,384.014
