Boutton, Temps(sec)
start,0
null,0.001
caisse,11.611
null,16.835
caisse,22.659
null,26.067
L,33.499
null,39.722
caisse,50.243
null,56.835
caisse,59.931
null,64.004
R,69.483
null,73.858
caisse,85.732
null,90.579
caisse,94.378
null,97.259
Down_R,103.499
null,109.995
caisse,118.155
null,124.627
caisse,127.316
null,131.011
L,136.883
null,141.97
caisse,150.563
null,156.739
caisse,160.683
null,164.683
L,170.171
null,174.323
caisse,185.539
null,189.531
caisse,192.154
null,195.491
Down_L,200.589
null,205.275
caisse,216.491
null,223.571
caisse,227.011
null,231.187
L,235.931
null,240.515
caisse,250.435
null,254.986
caisse,258.859
null,261.643
R,266.482
null,271.035
