Boutton, Temps(sec)
start,0
vide,0.002
caisse,13.418
null,19.538
caisse,23.906
vide,29.45
L,37.563
null,46.074
vide,49.929
caisse,58.234
null,65.29
caisse,70.322
vide,75.65
L,91.458
vide,97.018
caisse,112.058
null,122.002
caisse,128.458
vide,133.818
L,166.746
vide,174.498
caisse,186.394
vide,191.786
Down_R,199.858
vide,206.05
caisse,217.427
null,223.338
vide,228.498
R,232.898
vide,237.666
caisse,251.459
null,258.706
caisse,264.163
vide,269.09
R,291.034
vide,298.058
caisse,309.882
null,316.234
caisse,320.419
vide,324.314
L,337.714
vide,344.106
caisse,355.17
null,364.21
caisse,368.626
vide,374.058
null,386.45
vide,392.123
R,430.154
vide,436.066
Down_R,463.01
vide,470.538
