Boutton, Temps(sec)
Start,0
Introduction,2.824
A0,12.479
B_L0,33.386
C0,42.583
A1,48.994
B_R1,69.072
C1,78.16
A2,84.566
B_R2,128.752
C2,136.137
A3,146.881
B_L3,170.538
C3,178.536
A4,184.227
B_R4,212.777
Excuse,224.761
B_L4,241.446
C4,251.951
A5,260.818
B_R5,284.072
C5,296.052
A6,302.114
B_R6,327.844
C6,337.892
A7,344.806
B_R7,367.198
C7,376.19
C8,384.476
Conclusion,389.089
