Boutton, Temps(sec)
Start,0
Introduction,4.317
A0,17.141
B_L0,59.634
C0,71.294
A1,81.018
B_L1,110.329
C1,126.461
A2,133.678
Error_1,174.666
Excuse,184.299
B_R2,199.49
C2,209.375
A3,216.668
B_L3,247.704
C3,257.41
A4,264.818
B_R4,287.272
C4,301.418
A5,310.0
Error_2,340.267
Excuse,348.558
B_L5,364.91
C5,379.295
A6,387.492
B_R6,410.209
C6,423.256
A7,430.874
Error_3,457.308
Excuse,465.422
B_L7,477.029
C7,491.192
C8,498.259
Conclusion,505.627
