Boutton, Temps(sec)
start,0
vide,0.332
caisse,13.473
vide,30.288
L,55.88
vide,62.513
caisse,77.561
vide,96.536
Down_L,106.552
vide,111.785
caisse,130.088
vide,143.985
caisse,165.377
vide,169.633
Down_R,195.241
vide,201.089
caisse,213.257
null,219.177
caisse,222.593
vide,228.169
L,243.497
vide,249.881
caisse,260.609
vide,269.089
caisse,273.185
vide,276.792
R,283.609
vide,289.624
caisse,305.385
vide,318.112
Down_L,361.025
vide,366.009
caisse,383.608
vide,392.136
caisse,394.681
vide,400.016
Down_R,405.425
vide,413.929
caisse,427.4
vide,440.208
Down_L,473.137
vide,478.256
