Boutton, Temps(sec)
Start,0
Introduction,2.132
A0,14.483
B_L0,30.394
C0,41.231
A1,48.028
B_R1,72.675
C1,83.059
A2,90.587
Error_1,105.894
Excuse,115.159
B_L2,127.766
C2,136.865
A3,144.235
B_L3,164.677
C3,173.652
A4,180.295
B_R4,198.035
C4,209.54
A5,216.298
Error_2,231.808
Excuse,239.312
B_R5,250.225
C5,262.328
A6,270.21
B_L6,289.135
C6,302.295
A7,307.111
Error_3,326.519
Excuse,334.304
B_L7,345.222
C7,359.173
Conclusion,365.449
