Boutton, Temps(sec)
start,0
null,0.229
caisse,11.634
null,18.907
caisse,23.498
null,26.834
L,30.25
null,35.218
null,38.307
null,40.546
caisse,49.162
null,54.218
caisse,57.978
null,63.018
R,66.891
null,71.546
caisse,81.482
null,88.306
Down_R,97.234
null,102.043
caisse,115.194
null,122.698
L,126.115
null,131.234
caisse,141.106
null,156.539
L,160.802
null,165.331
caisse,175.73
null,180.682
caisse,184.098
null,189.706
Down_L,194.859
null,202.066
caisse,211.195
null,222.73
Down_R,228.25
null,233.594
caisse,249.746
null,257.114
caisse,261.218
null,264.435
R,268.403
null,273.435
