Boutton, Temps(sec)
start,0
vide,0.001
caisse,12.698
vide,24.602
R,40.371
vide,45.787
caisse,59.098
vide,63.666
caisse,67.331
vide,73.146
Down_L,82.338
vide,87.523
Down_L,118.826
vide,123.65
caisse,137.938
vide,148.49
Down_R,176.762
vide,181.666
caisse,191.522
vide,195.258
caisse,199.002
vide,208.85
Down_R,213.659
vide,218.931
caisse,228.538
vide,240.61
L,246.539
vide,251.411
caisse,268.467
vide,280.267
Down_L,302.875
vide,308.666
caisse,323.907
vide,328.602
caisse,334.002
vide,338.891
Down_R,344.299
vide,351.131
caisse,367.042
vide,375.387
Down_L,401.962
vide,406.122
