Boutton, Temps(sec)
Start,0
Introduction,2.552
A0,15.162
B_L0,33.22
C0,44.684
A1,53.784
B_L1,73.966
C1,82.738
A2,87.876
B_L2,105.834
C2,115.925
A3,121.427
B_R3,154.19
C3,163.711
A4,169.476
B_L4,188.838
C4,196.813
A5,203.784
B_R5,218.763
C5,230.64
A6,237.201
B_R6,253.68
C6,264.164
A7,272.618
B_R7,290.973
C7,299.549
C8,306.487
Conclusion,309.594
