Boutton, Temps(sec)
Start,0
Introduction,2.642
A0,16.142
B_R0,35.399
C0,48.894
A1,56.186
B_L1,76.896
C1,85.242
A2,90.979
B_L2,108.577
C2,117.507
A3,123.607
B_L3,142.878
C3,150.942
A4,156.361
B_R4,181.129
C4,188.434
A5,195.042
B_R5,216.361
C5,227.255
A6,232.662
B_R6,257.575
C6,268.391
A7,274.525
B_L7,298.006
C7,308.567
Conclusion,321.285
