Boutton, Temps(sec)
start,0
vide,0.001
caisse,12.241
null,20.922
vide,26.137
R,30.698
vide,36.042
caisse,50.258
null,57.841
caisse,61.298
vide,66.49
L,70.754
vide,77.249
caisse,93.202
null,101.851
caisse,108.29
vide,113.474
R,136.306
vide,142.178
caisse,152.417
null,160.011
caisse,163.506
vide,168.73
L,173.194
vide,180.05
caisse,189.546
null,196.673
caisse,201.186
vide,204.873
R,207.882
vide,212.994
caisse,227.417
null,234.098
caisse,238.706
vide,242.993
R,261.674
vide,268.322
caisse,279.914
null,286.354
caisse,291.831
vide,295.705
Down_R,300.994
vide,307.17
caisse,319.634
vide,327.442
caisse,330.257
vide,335.026
Down_L,355.994
vide,361.722
